nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean
NÃO IDENTIFICADO 28622,28622,3,0,0,0,0,0,2,0,141,2.0799512987012987,0,0,0,2.0799512987012987,0,0,0
NÃO IDENTIFICADO 28630,28630,1,0,0,0,0,0,1,0,117,0.8547008547008548,0,0,0,0.8547008547008548,0,0,0
NÃO IDENTIFICADO 28690,28690,11,0,0,0,0,0,11,0,707,1.4285714285714286,0,0,0,2.618855092088808,0,0,0
NÃO IDENTIFICADO 28746,28746,2,0,0,0,0,0,1,0,45,4.444444444444445,0,0,0,4.444444444444445,0,0,0
NÃO IDENTIFICADO 28762,28762,2,0,0,0,0,0,1,0,235,0.851063829787234,0,0,0,0.851063829787234,0,0,0
NÃO IDENTIFICADO 29114,29114,30,0,0,0,0,0,15,0,895,3.7735849056603774,0,0,0,4.014252099054392,0,0,0
NÃO IDENTIFICADO 32024,32024,2,0,0,0,0,0,1,0,107,1.8691588785046727,0,0,0,1.8691588785046727,0,0,0
NÃO IDENTIFICADO 32042,32042,6,0,0,0,0,0,3,0,196,2.727272727272727,0,0,0,4.460227272727273,0,0,0
NÃO IDENTIFICADO 32077,32077,2,0,0,0,0,0,1,0,62,3.225806451612903,0,0,0,3.225806451612903,0,0,0
NÃO IDENTIFICADO 32115,32115,2,0,0,0,0,0,1,0,124,1.6129032258064515,0,0,0,1.6129032258064515,0,0,0
NÃO IDENTIFICADO 32255,32255,3,0,0,0,0,0,2,0,175,2.1259497369959086,0,0,0,2.1259497369959086,0,0,0
NÃO IDENTIFICADO 32337,32337,18,0,0,0,0,0,8,0,565,3.977871443624868,0,0,0,3.6415984947263373,0,0,0
NÃO IDENTIFICADO 32979,32979,4,0,0,0,0,0,2,0,178,2.850389321468298,0,0,0,2.850389321468298,0,0,0
NÃO IDENTIFICADO 33006,33006,2,0,0,0,0,0,1,0,77,2.5974025974025974,0,0,0,2.5974025974025974,0,0,0
NÃO IDENTIFICADO 33928,33928,2,0,0,0,0,0,1,0,108,1.8518518518518516,0,0,0,1.8518518518518516,0,0,0
NÃO IDENTIFICADO 33936,33936,9,0,1,1,0,0,4,0,234,5.827702702702703,0,0,0,6.059012641673932,0,0,2.5
NÃO IDENTIFICADO 33952,33952,1,0,0,0,0,0,1,0,65,1.5384615384615385,0,0,0,1.5384615384615385,0,0,0
NÃO IDENTIFICADO 33960,33960,7,0,0,0,0,0,4,0,222,3.181818181818182,0,0,0,3.2507451564828616,0,0,0
NÃO IDENTIFICADO 33979,33979,1,0,0,0,0,0,1,0,171,0.5847953216374269,0,0,0,0.5847953216374269,0,0,0
NÃO IDENTIFICADO 33987,33987,3,0,0,0,0,0,1,0,115,2.608695652173913,0,0,0,2.608695652173913,0,0,0
NÃO IDENTIFICADO 34002,34002,1,0,0,0,0,0,1,0,190,0.5263157894736842,0,0,0,0.5263157894736842,0,0,0
NÃO IDENTIFICADO 34029,34029,1,0,0,0,0,0,1,0,274,0.36496350364963503,0,0,0,0.36496350364963503,0,0,0
NÃO IDENTIFICADO 34056,34056,4,0,1,0,0,0,4,0,300,1.3942307692307692,0,0,0,1.4605117597138872,0,0,0.3125
NÃO IDENTIFICADO 34770,34770,2,0,0,0,0,0,1,0,50,4,0,0,0,4,0,0,0
NÃO IDENTIFICADO 34797,34797,4,0,0,0,0,0,2,0,184,2.4731182795698925,0,0,0,2.4731182795698925,0,0,0
NÃO IDENTIFICADO 34843,34843,8,0,0,0,0,0,4,0,316,2.619047619047619,0,0,0,4.573280925273335,0,0,0
NÃO IDENTIFICADO 35246,35246,1,0,0,0,0,0,1,0,70,1.4285714285714286,0,0,0,1.4285714285714286,0,0,0
NÃO IDENTIFICADO 35351,35351,1,0,0,0,0,0,1,0,58,1.7241379310344827,0,0,0,1.7241379310344827,0,0,0
NÃO IDENTIFICADO 36653,36653,57,0,0,0,0,0,42,0,2963,2.150786308973173,0,0,0,2.6699365292684822,0,0,0
NÃO IDENTIFICADO 36781,36781,1,0,0,0,0,0,1,0,53,1.8867924528301887,0,0,0,1.8867924528301887,0,0,0
NÃO IDENTIFICADO 36790,36790,1,0,0,0,0,0,1,0,58,1.7241379310344827,0,0,0,1.7241379310344827,0,0,0
NÃO IDENTIFICADO 37249,37249,2,0,0,0,0,0,1,0,73,2.73972602739726,0,0,0,2.73972602739726,0,0,0
NÃO IDENTIFICADO 37482,37482,27,3,1,1,1,0,9,0,656,4.545454545454546,0,0,0,4.299505596714577,0.641025641025641,0,0.1564945226917058
NÃO IDENTIFICADO 37567,37567,1,0,0,0,0,0,1,0,63,1.5873015873015872,0,0,0,1.5873015873015872,0,0,0
NÃO IDENTIFICADO 38423,38423,5,0,0,0,0,0,3,0,374,3.225806451612903,0,0,0,2.5101722805053304,0,0,0
NÃO IDENTIFICADO 6858,6858,4,0,0,0,0,0,1,0,83,4.819277108433735,0,0,0,4.819277108433735,0,0,0
NÃO IDENTIFICADO 700468,700468,1,0,0,0,0,0,1,0,61,1.639344262295082,0,0,0,1.639344262295082,0,0,0
NÃO IDENTIFICADO 7293,7293,17,0,0,0,0,0,9,0,400,4.545454545454546,0,0,0,5.2894730931005185,0,0,0
NÃO IDENTIFICADO 7781,7781,6,0,0,0,0,0,4,0,384,1.8820028011204482,0,0,0,2.071995967061523,0,0,0
NÃO IDENTIFICADO 784,784,2,0,0,0,0,0,2,0,101,2.0379338175948343,0,0,0,2.0379338175948343,0,0,0
NÃO IDENTIFICADO 7900,7900,5,0,0,0,0,0,2,0,163,2.7807971014492754,0,0,0,2.7807971014492754,0,0,0
NOSSA SENHORA DA CONCEIÇÃO,7897,3,0,0,0,0,0,2,0,237,1.5822784810126582,0,0,0,1.5822784810126582,0,0,0
PRAÇA CLEMENTINO PROCÓPIO,11150,18,7,5,3,1,4,8,2,404,4.083333333333333,0,0,0,6.168046741990404,3.8243348982785603,2.3809523809523805,2.5198063380281686
PRAÇA DA BANDEIRA,302,13,5,2,1,3,2,4,2,212,6.225806451612903,0,0.8064516129032258,0.7692307692307693,6.739276852180078,2.5,1.1175115207373272,0.7878411910669976
PRAÇA DO AMOR,700130,9,0,1,0,0,0,4,0,618,1.0845896147403686,0,0,0,1.283035548110925,0,0,0.10416666666666667
PRAÇA DO ROSÁRIO,10448,3,0,0,0,0,0,1,0,93,3.225806451612903,0,0,0,3.225806451612903,0,0,0
PRAÇA DO TRABALHO,10464,6,0,0,0,0,1,2,1,78,7.763157894736842,0,1.3157894736842104,0,7.763157894736842,0,1.3157894736842104,0
PRAÇA FÉLIX ARAÚJO,833,4,0,0,0,0,0,2,0,127,10.854700854700855,0,0,0,10.854700854700855,0,0,0
PRAÇA FLORINA DA SILVA COLAÃO,24937,5,0,0,0,0,0,2,0,160,3.125,0,0,0,3.125,0,0,0
PRAÇA JOÃO DE SOUSA VASCONCELOS,15881,13,2,0,0,0,1,5,1,274,4.761904761904762,0,0,0,6.117280851985275,0.3571428571428571,0.3389830508474576,0
PRAÇA NOSSA SENHORA DE FÁTIMA,10952,12,0,0,0,0,0,5,0,361,3.076923076923077,0,0,0,3.403934914528135,0,0,0
