objectid,numero,ponteid,observacao,sequencial,compriment,nomeusual,distritoid,setorid,tipolograd,redeaguasp,tipopavime,estadocons,meiofio,separacaov,sentidovia,calcadaimp,calcadapar,sinalizaca,dispositiv,sinaliza_1,sinaliza_2,ponte,redeagua,redetelefo,redeesgoto,redeilumin,redeenergi,areasverde,arvore,lixeirapub,telefonepu,bancos,hidrantes,caixacorre,bancajorna,pontoonibu,pontotaxi,pontomotot,placapubli,placatrans,semaforo,faixapedes,poste,formulario,pesquisado,eglid,logradouro,coletalixo,trechoviai,trechovi_1,nomelograd
9362,0,0,,10880,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206970,9,12404,29173,,12404,12404,RUA CAMPO GRANDE
9363,0,0,,10882,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206972,9,12406,29203,,12406,12406,RUA VOLTA REDONDA
9364,0,0,,10885,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206975,9,12409,29203,,12409,12409,RUA VOLTA REDONDA
9365,0,0,,10890,0,,14,14,1,3,6,4,4,5,2,2,2,4,4,4,4,6,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206980,9,12414,29114,,12414,12414,NÃO IDENTIFICADO 29114
9366,0,0,,10893,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206983,9,12417,29025,,12417,12417,RUA FERNANDO DE NORONHA
9367,0,0,,491,0,,2,2,1,3,2,2,2,5,2,2,3,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,200543,1,520,15504,,520,520,RUA DO TAMBOR
9368,0,0,,12569,0,,7,7,1,3,1,2,2,5,2,3,3,4,4,4,4,6,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,205617,1,14636,825,,14636,14636,RUA CONDE D EU
9369,0,0,,10897,0,,14,14,1,3,2,1,2,2,1,3,4,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207212,13,12423,33499,,12423,12423,RUA ARQUITETO RENATO AZEVEDO
9370,0,0,,10898,0,,14,14,1,2,2,1,2,5,1,3,4,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207213,13,12425,33499,,12425,12425,RUA ARQUITETO RENATO AZEVEDO
9371,0,0,,10901,0,,14,14,1,3,2,1,2,2,1,3,4,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207216,13,12428,33499,,12428,12428,RUA ARQUITETO RENATO AZEVEDO
9372,0,0,,10902,0,,14,14,1,3,2,1,2,2,1,2,4,4,4,4,4,6,3,1,3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207217,13,12429,33499,,12429,12429,RUA ARQUITETO RENATO AZEVEDO
9373,0,0,,10905,0,,14,14,1,3,2,1,2,5,1,2,4,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207220,13,12432,33499,,12432,12432,RUA ARQUITETO RENATO AZEVEDO
9374,0,0,,10906,0,,14,14,1,3,2,1,2,2,1,2,4,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207221,13,12433,33499,,12433,12433,RUA ARQUITETO RENATO AZEVEDO
